post_hoc,harness,model,version,panel,contrast,metric,n_families,difference_pp,p_sign_flip,nonzero_families,loo_min_pp,loo_max_pp,eligible_families
True,MiniSWE,QwenNext,revised,without_reviewed_families,B-C,F,10,-5.0,1.0,1,-5.555555555555555,0.0,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24
True,MiniSWE,QwenNext,revised,without_reviewed_families,B-C,S,10,5.0,1.0,1,0,5.555555555555555,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24
True,MiniSWE,QwenNext,revised,without_reviewed_families,B-C,U,10,-5.0,1.0,1,-5.555555555555555,0,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24
True,MiniSWE,Qwen30,original,all_13,C-N,F,13,-15.384615384615385,0.125,4,-16.666666666666664,-12.5,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
True,MiniSWE,Qwen30,original,all_13,C-N,S,13,3.8461538461538463,1.0,3,0.0,8.333333333333332,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
True,MiniSWE,Qwen30,original,all_13,C-N,U,13,-11.538461538461538,0.375,5,-16.666666666666664,-8.333333333333332,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
True,MiniSWE,Qwen30,revised,all_13,C-N,F,13,-15.384615384615385,0.125,4,-16.666666666666664,-12.5,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
True,MiniSWE,Qwen30,revised,all_13,C-N,S,13,3.8461538461538463,1.0,3,0.0,8.333333333333332,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
True,MiniSWE,Qwen30,revised,all_13,C-N,U,13,-11.538461538461538,0.375,5,-16.666666666666664,-8.333333333333332,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
True,MiniSWE,Qwen30,original,without_X06,C-N,F,12,-16.666666666666664,0.125,4,-18.181818181818183,-13.636363636363635,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24;X28
True,MiniSWE,Qwen30,original,without_X06,C-N,S,12,4.166666666666666,1.0,3,0.0,9.090909090909092,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24;X28
True,MiniSWE,Qwen30,original,without_X06,C-N,U,12,-12.5,0.375,5,-18.181818181818183,-9.090909090909092,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24;X28
True,MiniSWE,Qwen30,revised,without_X06,C-N,F,12,-16.666666666666664,0.125,4,-18.181818181818183,-13.636363636363635,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24;X28
True,MiniSWE,Qwen30,revised,without_X06,C-N,S,12,4.166666666666666,1.0,3,0.0,9.090909090909092,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24;X28
True,MiniSWE,Qwen30,revised,without_X06,C-N,U,12,-12.5,0.375,5,-18.181818181818183,-9.090909090909092,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24;X28
True,MiniSWE,Qwen30,original,without_reviewed_families,C-N,F,10,-15.0,0.25,3,-16.666666666666664,-11.11111111111111,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24
True,MiniSWE,Qwen30,original,without_reviewed_families,C-N,S,10,5.0,1.0,3,0.0,11.11111111111111,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24
True,MiniSWE,Qwen30,original,without_reviewed_families,C-N,U,10,-10.0,0.625,4,-16.666666666666664,-5.555555555555555,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24
True,MiniSWE,Qwen30,revised,without_reviewed_families,C-N,F,10,-15.0,0.25,3,-16.666666666666664,-11.11111111111111,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24
True,MiniSWE,Qwen30,revised,without_reviewed_families,C-N,S,10,5.0,1.0,3,0.0,11.11111111111111,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24
True,MiniSWE,Qwen30,revised,without_reviewed_families,C-N,U,10,-10.0,0.625,4,-16.666666666666664,-5.555555555555555,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24
