version,scope,model,contrast,family,F,S,U,records
original,all13,Luna,I-N,X11,0.0,0.5,-0.5,R0181;R0182;R0183;R0184
original,all13,Luna,I-N,X20,0.0,0.0,0.0,R0189;R0190;R0191;R0192
original,all13,Luna,I-N,X24,0.0,0.0,0.0,R0197;R0198;R0199;R0200
original,all13,Luna,B-C,F01,0.0,0.0,0.0,R0105;R0106;R0107;R0108
original,all13,Luna,B-C,F02,0.0,0.0,0.0,R0113;R0114;R0115;R0116
original,all13,Luna,B-C,F04,0.0,1.0,-1.0,R0121;R0122;R0123;R0124
original,all13,Luna,B-C,F08,0.0,0.5,-0.5,R0129;R0130;R0131;R0132
original,all13,Luna,B-C,F20,0.0,0.0,0.0,R0145;R0146;R0147;R0148
original,all13,Luna,B-C,X02,-0.5,0.0,0.0,R0153;R0154;R0155;R0156
original,all13,Luna,B-C,X05,0.5,0.0,0.0,R0161;R0162;R0163;R0164
original,all13,Luna,B-C,X06,1.0,-0.5,0.5,R0169;R0170;R0171;R0172
original,all13,Luna,B-C,X11,0.0,0.5,-0.5,R0177;R0178;R0179;R0180
original,all13,Luna,B-C,X20,0.0,0.0,0.0,R0185;R0186;R0187;R0188
original,all13,Luna,B-C,X24,-0.5,0.0,0.0,R0193;R0194;R0195;R0196
original,all13,Luna,C-I,F01,0.0,-1.0,1.0,R0107;R0108;R0109;R0110
original,all13,Luna,C-I,F02,0.0,0.0,0.0,R0115;R0116;R0117;R0118
original,all13,Luna,C-I,F04,0.0,0.0,0.0,R0123;R0124;R0125;R0126
original,all13,Luna,C-I,F08,0.0,0.0,0.0,R0131;R0132;R0133;R0134
original,all13,Luna,C-I,F17,0.0,0.0,0.0,R0139;R0140;R0141;R0142
original,all13,Luna,C-I,F20,0.0,0.0,0.0,R0147;R0148;R0149;R0150
original,all13,Luna,C-I,X02,0.5,0.0,0.0,R0155;R0156;R0157;R0158
original,all13,Luna,C-I,X05,0.0,0.0,0.0,R0163;R0164;R0165;R0166
original,all13,Luna,C-I,X11,0.0,-1.0,1.0,R0179;R0180;R0181;R0182
original,all13,Luna,C-I,X20,-0.5,0.0,0.0,R0187;R0188;R0189;R0190
original,all13,Luna,C-I,X24,0.5,0.0,0.0,R0195;R0196;R0197;R0198
original,all13,Terra,C-N,F01,0.0,-1.0,1.0,R0211;R0212;R0215;R0216
original,all13,Terra,C-N,F02,0.0,0.0,0.0,R0219;R0220;R0223;R0224
original,all13,Terra,C-N,F04,0.0,0.0,0.0,R0227;R0228;R0231;R0232
