run_id,model,max_tokens,context_limit,temperature,top_p,top_k,native_tool_calls,step_limit,wall_time_limit_seconds
9559c00a779dc0e6b43b5972,Qwen30,512,32768,0.7,0.8,20,True,30,900
9626d0047d38ef299d5fbaa1,Qwen30,512,32768,0.7,0.8,20,True,30,900
993d29cd944425752ede87d7,Qwen30,512,32768,0.7,0.8,20,True,30,900
9d5b684471a4f505028ca1c1,Qwen30,512,32768,0.7,0.8,20,True,30,900
a1e097acd785c25f1d832599,Qwen30,512,32768,0.7,0.8,20,True,30,900
a221f335b27580bb804fd8ee,Qwen30,512,32768,0.7,0.8,20,True,30,900
a3e80b9a0c8d5d288fbc0f62,Qwen30,512,32768,0.7,0.8,20,True,30,900
a4ad86cce9ced413f0245e6a,Qwen30,512,32768,0.7,0.8,20,True,30,900
a5152e1bd8dfd276763e7614,Qwen30,512,32768,0.7,0.8,20,True,30,900
a55c69d6f64a7d9cddabc8bb,Qwen30,512,32768,0.7,0.8,20,True,30,900
b3f8a47b2cf89a66d94385dd,Qwen30,512,32768,0.7,0.8,20,True,30,900
b4f88b29cb12a33666cf15a9,Qwen30,512,32768,0.7,0.8,20,True,30,900
b6509aa9ac1db3d96670fcb6,Qwen30,512,32768,0.7,0.8,20,True,30,900
b8ee9175a37ea069bc6bb739,Qwen30,512,32768,0.7,0.8,20,True,30,900
ba53e69cd771509bedc6d063,Qwen30,512,32768,0.7,0.8,20,True,30,900
bd991b67d7c1c61e2ddda838,Qwen30,512,32768,0.7,0.8,20,True,30,900
c1058fe788167ddcedb220bf,Qwen30,512,32768,0.7,0.8,20,True,30,900
c4559fe2a7c8b7c123b0e7ed,Qwen30,512,32768,0.7,0.8,20,True,30,900
c8bbb5a0dbd723741445c732,Qwen30,512,32768,0.7,0.8,20,True,30,900
cb2cfdb843ebf3f4b82e20cd,Qwen30,512,32768,0.7,0.8,20,True,30,900
cd74a82221f8f7b4b10b3e52,Qwen30,512,32768,0.7,0.8,20,True,30,900
ce3727262be35f6ef1ab0d56,Qwen30,512,32768,0.7,0.8,20,True,30,900
cf1ab093e26ea0b56098e112,Qwen30,512,32768,0.7,0.8,20,True,30,900
d00774759f1bd82e81d690dc,Qwen30,512,32768,0.7,0.8,20,True,30,900
d0ffca0ce3d2aaf4d9b5d6ae,Qwen30,512,32768,0.7,0.8,20,True,30,900
d2a88ab122e9880aef362985,Qwen30,512,32768,0.7,0.8,20,True,30,900
d32e0173e89af99c160ff17a,Qwen30,512,32768,0.7,0.8,20,True,30,900
d7608013f9f3c5cbbca9eabb,Qwen30,512,32768,0.7,0.8,20,True,30,900
d946fabf476dac45c808a963,Qwen30,512,32768,0.7,0.8,20,True,30,900
dbe1381643af0539e188261b,Qwen30,512,32768,0.7,0.8,20,True,30,900
e006915791be668b4066b78a,Qwen30,512,32768,0.7,0.8,20,True,30,900
e2d2fadb227212468f7a1a0c,Qwen30,512,32768,0.7,0.8,20,True,30,900
e59e29fbe4279239758600a3,Qwen30,512,32768,0.7,0.8,20,True,30,900
e889f5888dfa9da3fb3503c9,Qwen30,512,32768,0.7,0.8,20,True,30,900
eb82a77f5b20af5c8cc4c941,Qwen30,512,32768,0.7,0.8,20,True,30,900
f00953226de6149658e7c52b,Qwen30,512,32768,0.7,0.8,20,True,30,900
f0d74e6c77753a036cdb1caf,Qwen30,512,32768,0.7,0.8,20,True,30,900
f61b873665643d9001d94d27,Qwen30,512,32768,0.7,0.8,20,True,30,900
