run_id,model,family,condition,valid,functionality,security,termination,patch_exists,patch_bytes
f738be227ad438672b96c6f4,Terra,X20,I,True,True,True,SUCCESS,True,1116
658cc6b17edbb4d54bef4a26,Terra,F08,C,True,True,True,SUCCESS,True,432
0d93bca4348c2a768477656a,Terra,X06,I,True,True,False,SUCCESS,True,2218
05c83b4ed4f5d471f0a62c5c,Terra,X20,C,True,True,True,SUCCESS,True,1096
19b405b538e5167abf33ffb3,Terra,F20,I,True,True,False,SUCCESS,True,819
e83675dc9497de269d3e660d,Terra,F04,B,True,True,True,SUCCESS,True,1060
19d021d040eeb69310b293b8,Terra,X02,B,False,True,True,TIMEOUT,True,8824
2c03ec1a65d98974483e57fa,Terra,X28,I,False,True,False,SUCCESS,True,700
c4bb3b5b9035da5c0423d971,Terra,X06,C,True,True,True,SUCCESS,True,2130
1dcef041ba7502458b85e4f5,Terra,F01,B,True,True,True,SUCCESS,True,632
813c1a6bdeb8691f7a2e09a9,Terra,F17,N,True,True,True,SUCCESS,True,802
5f44d9bb279b15f4a52b5c54,Terra,X05,B,True,True,True,SUCCESS,True,953
aa37302931bebb0e8aa84bb3,Terra,X11,B,True,True,True,SUCCESS,True,2031
1e8dd4dd511257bb6cfcf235,Terra,X05,N,True,True,True,SUCCESS,True,927
37fcfe1701aa999909b2ab03,Terra,F20,I,True,True,False,SUCCESS,True,679
29acac044a958ba8be3066a8,Terra,F02,C,True,True,False,SUCCESS,True,457
008f28add6cd45197b6ca349,Terra,F04,I,True,True,True,SUCCESS,True,1139
214707333d12ef01e7587d99,Terra,X02,N,True,True,True,SUCCESS,True,2177
2536963dec45eedcb30b4bee,Terra,X02,I,True,True,True,SUCCESS,True,11242
92e8ca4946dbff61399fb5cc,Terra,F08,B,True,True,True,SUCCESS,True,434
6fab677f87e413a913cd625f,Terra,F08,I,True,True,False,SUCCESS,True,373
28c3255750ea6b80d33130df,Terra,X24,C,True,True,True,SUCCESS,True,1579
f11ceecd000b4225b426df4f,Terra,F02,B,True,True,False,SUCCESS,True,457
901e03abedcff3b8ec01f990,Terra,F02,B,True,True,False,SUCCESS,True,457
e9c7575f00f390577297f6f8,Terra,F04,C,True,True,False,SUCCESS,True,435
654223961b093cd2e19418db,Terra,F17,B,True,True,True,SUCCESS,True,782
15dd585e51f5277650976544,Terra,X24,B,True,True,True,SUCCESS,True,1782
e0f896163d8621ef6cca60d1,Terra,F08,N,True,True,False,SUCCESS,True,373
6c25b129b3b9128dbc83d365,Terra,F01,B,True,True,True,SUCCESS,True,651
9e904e0defd529b040b7c65c,Terra,F01,N,True,True,True,SUCCESS,True,613
