version,scope,model,contrast,family,F,S,U,records,original_run_ids
original,all13,GPT55,B-C,F04,0.0,0.5,-0.5,R0017;R0018;R0019;R0020,367a83c193f546bdb0a91c26;572f52f2a1b6c8381f3553a6;0ad4cd114e31329348ff9f4b;955dcca8de7ecd339b1005f6
original,all13,GPT55,B-C,F08,0.0,0.0,0.0,R0025;R0026;R0027;R0028,91f5cee460f362f2f2c9b0ab;b872912a9ffc070c91094b0a;cb73939607414dd5286f1b9c;d494a6c81385527934dfc202
original,all13,GPT55,B-C,F17,0.0,0.0,0.0,R0033;R0034;R0035;R0036,54cefa0b0e0d8d3d40d9e49c;b1491c8e1a1548024498d350;3c3177a2417522382cbe4a2a;90a4e08ac3793d52c8a48430
original,all13,GPT55,B-C,X05,0.0,0.0,0.0,R0057;R0058;R0059;R0060,e764792fc60c81be1cfb7f82;06cee2500d24f0e84e3de94b;38f77ba121acec1d12e81951;e83b600e2abde1b605547e2c
original,all13,GPT55,B-C,X06,0.0,1.0,-1.0,R0065;R0066;R0067;R0068,d16048f444b04b3ce68c2d87;6f19a40bb04f472e8df11100;d498e7890a9a2e2e9fe19892;541450949261dcd40391b534
original,all13,GPT55,B-C,X11,0.0,1.0,-1.0,R0073;R0074;R0075;R0076,1c8028543822ef40880d5f36;846041505f7a864c203ea1be;f92c4a2471e64628da6afc77;afc514ac8bba0bccf906861f
original,all13,GPT55,B-C,X20,0.0,0.0,0.0,R0081;R0082;R0083;R0084,e742b1a2dddf683f05adb1f1;458b3e1e2b11bf313b1e3c52;b6e466800a7e91b56e7f9be0;169fb58374da74bd21996f4c
original,all13,GPT55,B-C,X24,0.0,0.0,0.0,R0089;R0090;R0091;R0092,6f063bf66b4dec4e96f6ab68;940bf15ef254575acdbeba69;fca4138da29e6c5c16b036e6;e479c9f31098126618eda6d8
original,all13,GPT55,C-I,F01,0.0,-0.5,0.5,R0003;R0004;R0005;R0006,79073b176698ed7cde2ac8a1;ea2f98d7628c2ebfea01b894;99dcdadfc4694bb6e17dfc57;fca9a3bc6ef123aaac891d53
original,all13,GPT55,C-I,F02,0.0,0.0,0.0,R0011;R0012;R0013;R0014,9d67b5c0eef200a07c2cf08f;dd8e2180fbef3fa154019ede;9a9d27b7402d11faf3cc8ca4;724d3646232fd1cf766c20b7
original,all13,GPT55,C-I,F04,0.0,0.0,0.0,R0019;R0020;R0021;R0022,0ad4cd114e31329348ff9f4b;955dcca8de7ecd339b1005f6;34fc1b221f11e18bdd8ef2d1;92553a8b954eba93c23d53f6
original,all13,GPT55,C-I,F08,0.0,1.0,-1.0,R0027;R0028;R0029;R0030,cb73939607414dd5286f1b9c;d494a6c81385527934dfc202;c6b4b3654020c9f2d3da55ea;238bac2c753e2b345852092b
original,all13,GPT55,C-I,F17,0.0,0.0,0.0,R0035;R0036;R0037;R0038,3c3177a2417522382cbe4a2a;90a4e08ac3793d52c8a48430;ef9fced57cc95aa22e698299;b25530d90387b0ff6c82c489
original,all13,GPT55,C-I,F20,0.0,0.0,0.0,R0043;R0044;R0045;R0046,0246d71e17a341482d5c048c;974376e308b2768b4ddd1b2f;8070236bec7eb37e50ba545e;e4d8a962f015968d1d8c6027
original,all13,GPT55,C-I,X05,0.0,0.0,0.0,R0059;R0060;R0061;R0062,38f77ba121acec1d12e81951;e83b600e2abde1b605547e2c;608398c6d37f46e516e0d3f4;efcb679f0bb6ee81ca77d152
original,all13,GPT55,C-I,X06,0.0,-1.0,1.0,R0067;R0068;R0069;R0070,d498e7890a9a2e2e9fe19892;541450949261dcd40391b534;af71f64ad0fc6fbac61bf89a;f4efcee7a2e3d772bea1dfa0
original,all13,GPT55,C-I,X11,0.0,-1.0,1.0,R0075;R0076;R0077;R0078,f92c4a2471e64628da6afc77;afc514ac8bba0bccf906861f;69725139b5576ba7571bbf30;60031b5b8a44b670d6f57b88
original,all13,GPT55,C-I,X20,0.0,0.0,0.0,R0083;R0084;R0085;R0086,b6e466800a7e91b56e7f9be0;169fb58374da74bd21996f4c;8ffc5babf5fed378ff37e6d6;947d65c50244f47af3c7941f
original,all13,GPT55,C-I,X24,0.0,0.0,0.0,R0091;R0092;R0093;R0094,fca4138da29e6c5c16b036e6;e479c9f31098126618eda6d8;f6587a0d3e65abcf820b9b4b;cb5a12b41e0e9da0fd47af34
original,all13,Luna,C-N,F01,0.0,-1.0,1.0,R0107;R0108;R0111;R0112,1e1ac330571e4ab519d2d06d;85ce1c665275ecc6aee3d88c;868d93f42c626858daa25bdc;81c25197515e22d5ce8b2a38
original,all13,Luna,C-N,F02,0.0,0.0,0.0,R0115;R0116;R0119;R0120,15bdb1ce0e9363f3e77b2443;792bfc0139c3daf285c65304;985144b6456aa9b15f3e46b3;727b30b5c9e01bb32800fe66
original,all13,Luna,C-N,F04,0.0,0.0,0.0,R0123;R0124;R0127;R0128,1b8e40cefb62ff78b3a044da;d037c8bc1b9124615516345f;8f9ebbd50f39466c2f6d9e8d;8c00a937f921cc6bc13152ec
