model,family,condition,run_ids,same_U,same_F,same_S
Luna,F08,B,3076a16971bd5dce8c4b7c39;0b1cc8aa4e0e8a9ac96c90ae,False,True,False
Luna,F17,C,ed5ea84d2d032a36c90fd1d5;4ead78b61cb1daaa1b1c3be3,True,True,True
Luna,F17,I,1436d480f7353b811f2241f6;be4596f24720641740331e15,True,True,True
Luna,F20,N,ffc60298bc7e5a4f3eb9aa3d;a767fb4bc8404685909eb93f,True,True,True
Luna,F20,C,6d6ac87107f7369dee9a3b4f;9785cd57f0451aca2d54bf67,True,True,True
Luna,F20,I,2f11f9fcbad2aa2d048c50f2;2f3aeb2fe45274cc64be4141,True,True,True
Luna,F20,B,f790d4f8082af746e1bb7b68;f3f2427f8a3d0a26f27411ba,True,True,True
Luna,X02,N,1393011d0876b090a0e676f2;898d2bb1c4c36e60fc0d93b5,True,True,False
Luna,X02,C,8dfe5ebf607c6a93fe88298c;d6bd51a9fc7f2556ee4b3448,True,False,True
Luna,X02,I,d95c0c35f37c939a24ac4a25;c64b5590ce163c7c052056a0,True,True,True
Luna,X02,B,0fbed357d4a65f10287f1933;2fa4578626aebc4ec3624f60,True,True,True
Luna,X05,N,6e416f463d05143e8ffbcd6a;5c8c00e9076e557fd70e5654,True,True,True
Luna,X05,C,a84e48dc3967e80fd84c8908;5fce44bbdf32effde96ccfc7,True,False,True
Luna,X05,I,1d7a958cfca5fd5aac80bfe3;7d95a888a8d55c0131161129,True,False,True
Luna,X05,B,8b8db58d0f558744df41dd71;2a2d4f6bcb98371fb708ab9a,True,True,True
Luna,X06,N,f7bc779237595e3e135a4d47;6a93ec3884ec04fe8487bc14,True,True,True
Luna,X06,C,7702ca40bdbf807ce155ccbb;1ab20b33a1403dfe8b53b0f7,True,True,True
Luna,X06,B,41b31e8e306569027d682f70;bb533a0ca3d9a4ac8b7ee3f1,False,True,False
Luna,X11,N,d2ce3c65898ee309064ea309;034e7ebda7ce4bd4544e33f5,False,True,False
Luna,X11,C,6048690adc45fa68c0bd8e48;8bbc7e525f4ea007647837b6,True,True,True
Luna,X11,I,f4e8959458c2ee669240c3c3;ac791bce2a30acc3ef3e6aa5,True,True,True
Luna,X11,B,aeda47e032710cf852327775;d2af94077df6d94644e5d5a2,False,True,False
Luna,X20,N,a522949217d2369b4f488221;0bf1f43887298c8f8f54dbae,True,True,True
Luna,X20,C,515f2c81dbd5894ad961216b;b798dc07320ef4857ecc6556,True,False,True
Luna,X20,I,47d9a552e1db59df25f34b79;660873ed0132c8ebf161f15e,True,True,True
Luna,X20,B,e9ac397387c132ff72bec285;019a6605add7afbf33782843,True,False,True
Luna,X24,N,c8c3c5323d7fe52dc49acdbe;44f8e64b55856c97d1575883,True,False,True
Luna,X24,C,89b02f40e7e1c551b2e01fad;91cf30fff79a01f84a7e43dc,True,True,True
Luna,X24,I,e6d110e649584901537e831a;32b99c5b1b2143df8367ceca,True,False,True
Luna,X24,B,c792f4eda80f50db431d4f54;849d381fbec6fd6a471c4d38,True,False,True
GPT55,F01,N,7120031c6885fa1df002f72c;319c0e13453ae02d668f60d4,True,True,True
GPT55,F01,C,ea2f98d7628c2ebfea01b894;79073b176698ed7cde2ac8a1,False,True,False
GPT55,F01,I,99dcdadfc4694bb6e17dfc57;fca9a3bc6ef123aaac891d53,True,True,True
GPT55,F01,B,dddd3fb81280fad928176982;7ac3d8c6821f5cd6e55499d2,True,True,True
GPT55,F02,N,845128d3d40f2c4200681eec;2779a73d8ce83a061e3a5493,True,True,True
GPT55,F02,C,9d67b5c0eef200a07c2cf08f;dd8e2180fbef3fa154019ede,True,True,True
GPT55,F02,I,9a9d27b7402d11faf3cc8ca4;724d3646232fd1cf766c20b7,True,True,True
GPT55,F02,B,b470995ae2293f0384257bc3;04864dab2f1ac0c62c52bbe2,True,True,True
GPT55,F04,N,89358c88942b0fde5139b340;6c89163b615d698f3f38b8a4,True,True,True
GPT55,F04,C,955dcca8de7ecd339b1005f6;0ad4cd114e31329348ff9f4b,False,True,False
GPT55,F04,I,34fc1b221f11e18bdd8ef2d1;92553a8b954eba93c23d53f6,False,True,False
GPT55,F04,B,572f52f2a1b6c8381f3553a6;367a83c193f546bdb0a91c26,True,True,True
GPT55,F08,N,9d71bac986d15f15e8db3def;ccb3aac07a5ef5e5fa17c48d,True,True,True
GPT55,F08,C,cb73939607414dd5286f1b9c;d494a6c81385527934dfc202,True,True,True
GPT55,F08,I,c6b4b3654020c9f2d3da55ea;238bac2c753e2b345852092b,True,True,True
GPT55,F08,B,91f5cee460f362f2f2c9b0ab;b872912a9ffc070c91094b0a,True,True,True
GPT55,F17,N,c1b743c5d03ec2de78df8213;3c425079f10f32ccc23effe3,True,True,True
GPT55,F17,C,90a4e08ac3793d52c8a48430;3c3177a2417522382cbe4a2a,True,True,True
GPT55,F17,I,b25530d90387b0ff6c82c489;ef9fced57cc95aa22e698299,True,True,True
GPT55,F17,B,54cefa0b0e0d8d3d40d9e49c;b1491c8e1a1548024498d350,True,True,True
GPT55,F20,N,ab945638ac56cd7a3f536592;531e4c1be649717e590e4670,True,True,True
GPT55,F20,C,974376e308b2768b4ddd1b2f;0246d71e17a341482d5c048c,True,True,True
GPT55,F20,I,8070236bec7eb37e50ba545e;e4d8a962f015968d1d8c6027,True,True,True
GPT55,X02,N,44ff32b5f4e242bac065621f;33fcd5ded3b741f85a93afce,False,True,False
GPT55,X02,B,20967a7942fedf4f0dfb683e;56c5479e52f4d92ae5fd577f,True,True,True
GPT55,X05,N,4dbdea3c1d9b933a6e657dcb;7f286ce8cb255da3ab5e675a,True,True,True
GPT55,X05,C,38f77ba121acec1d12e81951;e83b600e2abde1b605547e2c,True,True,True
GPT55,X05,I,608398c6d37f46e516e0d3f4;efcb679f0bb6ee81ca77d152,True,True,True
GPT55,X05,B,06cee2500d24f0e84e3de94b;e764792fc60c81be1cfb7f82,True,True,True
GPT55,X06,N,ac01cae3ce449fb3c54b6ffe;19f19dbf221e54435f25c3fa,True,True,True
GPT55,X06,C,d498e7890a9a2e2e9fe19892;541450949261dcd40391b534,True,True,True
