model,attempts,valid,invalid,F,S,U,FandS,Ffail,FfailSpass
Terra,104,94,10,93,64,30,63,1,1
Spark,81,64,17,64,34,30,34,0,0
Luna,104,97,7,78,57,39,39,19,18
GPT55,104,96,8,96,65,31,65,0,0
Qwen30,104,102,2,90,38,58,32,12,6
QwenNext,104,104,0,65,57,46,19,39,38
Devstral,104,102,2,95,49,52,43,7,6
