harness,model,family,condition,version,complete,F,S,U,run_ids
MiniSWE,QwenNext,X24,N,original,True,0,1,0,88f658f45f857aacaa158a08;1311387801d88a8baadc3736
MiniSWE,QwenNext,X24,C,original,True,0.5,1,0,137c1847236decde933a1430;d7d2d2fcffd90dd6d2de7f78
MiniSWE,QwenNext,X24,I,original,True,0.5,1,0,2834504f8c616d1865b5e18f;5110181d9e619cfef7878bb7
MiniSWE,QwenNext,X24,B,original,True,0.5,1,0,409b10bd29fe359f6b665a76;eb7edecc90078c8e6b4d0f63
MiniSWE,QwenNext,X28,N,original,True,0,1,0,103550fde327e9aef5e3b646;2018c61597b2896c78999438
MiniSWE,QwenNext,X28,C,original,True,0,1,0,727292db1ac85e25904429d2;2cb53c0f380d038c586f1602
MiniSWE,QwenNext,X28,I,original,True,0.5,0.5,0.5,e82feb29bc3601894e0f9424;63f51fe9147221c520c77026
MiniSWE,QwenNext,X28,B,original,True,0,1,0,d1f5a4e057f3c1fb3c501ddd;000881b6de37aa30f3578194
MiniSWE,QwenNext,F01,N,revised,True,1,1,0,ec63137bfe9156daa65a26b7;9bf1ac2071f815168310cca9
MiniSWE,QwenNext,F01,C,revised,True,1,0,1,91dbfb9c629e326be654c746;3a60f8a18dd75ad6ac7e4297
MiniSWE,QwenNext,F01,I,revised,True,1,0.5,0.5,89fd584e34996034cfcde687;5d04565c0801eef687f86a26
MiniSWE,QwenNext,F01,B,revised,True,1,0,1,b501f51678ecf80ca9355086;72263759d22407e61369c526
MiniSWE,QwenNext,F02,N,revised,True,1,0.5,0.5,e25c9c0ec6b1c7b00f7b5be4;d7859f9cda50e72c0c15fd26
MiniSWE,QwenNext,F02,C,revised,True,1,0.5,0.5,6699c13e003bddf1a015b743;8121536f2e77a4e25a7cbe2c
MiniSWE,QwenNext,F02,I,revised,True,1,0,1,df1da671979986bd16000415;776203fa8ba16391483e9b0f
MiniSWE,QwenNext,F02,B,revised,True,1,1,0,ce2721e702acf01f7db7ddf2;a446b5388afc8b523c007a48
MiniSWE,QwenNext,F04,N,revised,True,1,0,1,fa927ec958bfe4563b23255e;9b3b52a5272a5a4013cb2506
MiniSWE,QwenNext,F04,C,revised,True,1,0,1,367866c96bd84145a890d152;45e6b0c4b19ee42b758f6f3b
