fixed_families,repetitions_per_arm,runs_per_configuration,two_arm_half_width_pp,interaction_half_width_pp
13,2,104,27.18030961503623,38.43876248708407
13,4,208,19.219381243542035,27.18030961503623
13,8,416,13.590154807518115,19.219381243542035
13,15,780,9.924845797419934,14.035851531172883
13,16,832,9.609690621771017,13.590154807518115
13,30,1560,7.017925765586441,9.924845797419934
13,32,1664,6.795077403759057,9.609690621771017
13,64,3328,4.804845310885509,6.795077403759057
